Musician's Bio,Full Name,Alternate Name,Born,Died,Gharana,Gender,Instrument
Rajab Ali Khan,Rajab Ali Khan,,1874,1959,,M,Vocal
Aman Ali Khan,Aman Ali Khan,,1888,1953,Bhendibazzar gharana,M,Vocal
Anjanibai Malpekar,Anjanibai Malpekar,,1883,1974,Bhendibazzar gharana,F,Vocal
Amjad Ali Khan,Amjad Ali Khan,,,,,M,Sarod
Imdad Khan,Imdad Khan,,1848,1920,,M,Surbahar
Inayat Khan,Inayat Khan,,1898,1939,,M,Surbahar
Wahid Khan,Wahid Khan,,,,,M,Surbahar
D.T. Joshi,D.T. Joshi,,,,,M,Sitar
Mohammed Khan,Mohammed Khan,,1906,1959,Mewati,M,Sitar
Mohammed Khan Faridi Desai,Mohammed Khan Faridi Desai,,,,Ustad,M,Bin
Shamsuddin Faridi Desai,Shamsuddin Faridi Desai,,1936,2011,,M,Bin
Mamman Khan,Mamman Khan,,1865,,,M,Sursingar
Chand Khan,Chand Khan,,1901,1980,,M,Vocal
Bundu Khan,Bundu Khan,,1880,1955,,M,Sarangi
Abid Hussain Khan,Abid Hussain Khan,,,,,M,Vichitra Veena
Banubai Latkar,Banubai Latkar,,,,Kirana,F,Vocal
Azmat Hussain Khan,Azmat Hussain Khan,,,,,M,Vocal
Bade Moti Bai,Bade Moti Bai,,,1976,Banaras,F,Vocal
Dilshad Khan,Dilshad Khan,,,,Delhi,M,Vocal
Fayyaz Ahmed Khan,Fayyaz Ahmed Khan,,,,Kirana,M,Vocal
Niaz Ahmed Khan,Niaz Ahmed Khan,,,,Kirana,M,Vocal
Fida Hussein,Fida Hussein,,,,,M,Vocal
Hafiz Khan Talwandi,Hafiz Khan Talwandi,,,,,M,Vocal
Ilyas Khan,Ilyas Khan,,,,,M,Sitar
Ishtiaq Khan,Ishtiaq Khan,,,,Lucknow,M,Sarod
Kaukub Khan,Kaukub Khan,,,,,M,Sarod
Krishnarao Shankar Pandit,Krishnarao Shankar Pandit,,,,,M,Vocal
Kumar Gandharva,Kumar Gandharva,,,,,M,Vocal
L.K. Pandit,L.K. Pandit,,,,Gwalior,M,Vocal
Meeta Pandit,Meeta Pandit,,,,Gwalior,F,Vocal
Master Krishnarao,Master Krishnarao,,,,,M,Vocal
Mehr Ali Khan Talwandi,Mehr Ali Khan Talwandi,,,,,M,Vocal
Mohammad Khan,Mohammad Khan,,,,,M,Sitar
Mohammad Shareef Poochwale,Mohammad Shareef Poochwale,,,,,M,Vichitra Veena
Narayan Rao Vyas,Narayan Rao Vyas,,,,,M,Vocal
Naseer Ahmad Khan,Naseer Ahmad Khan,,,,,M,Vocal
Nathu Khan,Nathu Khan,,,,,M,Sarangi
Abdul Latif Khan,Abdul Latif Khan,,,,,M,Sarangi
Nikhil Banerjee,Nikhil Banerjee,,,,,M,Sitar
Nishat Khan,Nishat Khan,,,,,M,Sitar
Nissar Hussain Khan,Nissar Hussain Khan,,,,,M,Vocal
Nivrutibuwa Sarnaik,Nivrutibuwa Sarnaik,,,,,M,Vocal
Niyaz Ahmed Khan,Niyaz Ahmed Khan,,,,,M,Vocal
Omkarnarth Thakur,Omkarnarth Thakur,,,,,M,Vocal
Parveen Sultana,Parveen Sultana,,,,,F,Vocal
Pran Nath,Pran Nath,,,,,M,Vocal
Pyari Saheb,Pyari Saheb,,,,,M,Vocal
Radhika Mohan Moitra,Radhika Mohan Moitra,,,,Bangash,M,Sarod
Rahim Famimmuddin Khan,Rahim Famimmuddin Khan,,,,,M,Sitar
Rahimat Khan Sitariya,Rahimat Khan Sitariya,,,,,M,Vocal
Ram Chatur Mallick,Ram Chatur Mallick,,,,,M,Vocal
Rameshwar Pathak,Rameshwar Pathak,,,,Pathak,M,Sitar
Balram Pathak,Balram Pathak,,1926,1991,Pathak,M,Sitar
Ram Krishna Bua Vaze,Ram Krishna Bua Vaze,,,,,M,Vocal
Rashid Khan,Rashid Khan,,,,,M,Vocal
Rasoonal bai,Rasoonal bai,,,,,F,Vocal
Annapurna Devi,Annapurna Devi,,,,Maihar,F,Vocal
S.N. Ratanjankar,S.N. Ratanjankar,,,,,M,Vocal
Sabri Khan,Sabri Khan,,,,,M,Sarangi
Sadiq Ali Khan,Sadiq Ali Khan,,,,,M,Bin/Veena
Sakhawat Hussain Khan,Sakhawat Hussain Khan,,,,Lucknow,M,Sarod
Shahid Parvez,Shahid Parvez,,,,Etawah,M,Sitar
Sharafat Hussin Khan,Sharafat Hussin Khan,,,,Agra,M,Vocal
Shujaat Khan,Shujaat Khan,,,,Etawah,M,Sitar
Aaasish Khan,Aaasish Khan,,,,Maihar,M,Sarod
Sureshbabu Mane,Sureshbabu Mane,,,,,M,Sarod
Tansen Pandey,Tansen Pandey,,,,Dagar,M,Vocal
Ulhas Kashalkar,Ulhas Kashalkar,,,,,M,
Umrao Khan Bundu Khan,Umrao Khan Bundu Khan,,,,,M,Sarangi
V.G. Jog,V.G. Jog,,,,,M,Violin
Vasanrao Deshpande,Vasanrao Deshpande,,,,,M,Vocal
Bismillah Khan,Bismillah Khan,,,,,M,Shehnai
Munir Khan,Munir Khan,,,,,M,Sarangi
Vinatakrao Patwardhan,Vinatakrao Patwardhan,,,,,M,
Waliulla Khan,Waliulla Khan,,,,,M,
Yashwantbuwa Joshi,Yashwantbuwa Joshi,,,,,M,
Yusuf Ali Khan,Yusuf Ali Khan,,,,Lucknow,M,
Z.F. Dagar,Z.F. Dagar,,,,Dagar,M,Bin/Vina
Govindrao Rajurkar,Govindrao Rajurkar,,,,,M,
Malini Rajunkar,Malini Rajunkar,,1941,,Gwalior,F,Vocal
Zahida Parveen,Zahida Parveen,,1925,1975,Patiala,F,Vocal
Shahida Parveen,Shahida Parveen,,~1953,2003,,F,Vocal
Afzal Khan,Afzal Khan,,,,Talwandi,M,Vocal
Hafiz Khan,Hafiz Khan,,,,Talwandi,M,Vocal
Girija Shankar Chakrabarty,Girija Shankar Chakrabarty,,1885,1948,"Music School, & Rampur-Sahaswan",M,Vocal
Arkut Kanan,Arkut Kanan,,1920,2004,Music School,M,Vocal
Malabika Kanan,Malabika Kanan,,1930,2009,Music School,F,Vocal
Moujuddin Khan,Moujuddin Khan,,,,,M,Vocal
Vasant Rao Deshpande,Vasant Rao Deshpande,,,,,M,Vocal
VG Jog,VG Jog,,1922,2004,,M,Violin
Bholanath Bhat,Bholanath Bhat,,,,Gwalior,M,Vocal
Mehmoob Khan,Mehmoob Khan,,,,Rampur-Sahaswan,M,Vocal/Veena
Inayat Hussain Khan,Inayat Hussain Khan,,1849,1919,Rampur-Sahaswan,M,Vocal
Haider Khan,Haider Khan,,1857,1927,Rampur-Sahaswan,M,Vocal
Fida Hussain Khan,Fida Hussain Khan,,,,Rampur-Sahaswan,M,Vocal
Afzal Hussain Khan nizami,Afzal Hussain Khan nizami,,,,,M,Vocal
Nisar Hussain Khan,Nisar Hussain Khan,,1909,1993,Rampur-Sahaswan,M,Vocal
Ghulam Mustafa Khan,Ghulam Mustafa Khan,,1931,,Rampur-Sahaswan,M,Vocal
Shanno Khurana,Shanno Khurana,,1927,,Rampur-Sahaswan,F,Vocal
Sulochana Brahaspati,Sulochana Brahaspati,,1937,,Rampur-Sahaswan,F,Vocal
Rahid Khan,Rahid Khan,,,,Rampur-Sahaswan,M,Vocal
Ghulam Jafar Khan,Ghulam Jafar Khan,,,,,M,Sarangi
Ghulam Sadiq Khan,Ghulam Sadiq Khan,,1939,2016,Rampur-Sahaswan,M,Vocal
Ghulam Hasan Khan,Ghulam Hasan Khan,,1994,,Rampur-Sahaswan,M,Vocal
Sharan Rani,Sharan Rani,,1929,2008,Maihar,F,Sarod
Meeraan Bakhsh,Meeraan Bakhsh,,,,Gwalior,M,Vocal
Piyare Khan,Piyare Khan,,,,Gwalior,M,Vocal
Umeed Ali Khan,Umeed Ali Khan,,1914,1979,Gwalior,M,Vocal
Gajananrao Joshi,Gajananrao Joshi,,1911,1987,Gwalior,M,Vocal
Buddhaditya Mukherjee,Buddhaditya Mukherjee,,,,,M,Sitar
Mushtaq Ali Khan,Mushtaq Ali Khan,,1911,1989,Jaipur Seniya,M,Sitar/Surbahar
Sharmistha Sen,Sharmistha Sen,,,,Jaipur Seniya,F,Sitar
Debu Chaudhri,Debu Chaudhri,,,,Jaipur Seniya,M,Sitar
Prateek Chaudri,Prateek Chaudri,,,,Jaipur Seniya,M,Sitar
Nirmul Guha Thakurta,Nirmul Guha Thakurta,,,,Jaipur Seniya,M,Sitar
Nitai Bose,Nitai Bose,,,,Jaipur Seniya,M,Sitar
Ishtiaq Khan,Ishtiaq Khan,,,,Jaipur Seniya,M,Sitar
Steve Landsberg,Steve Landsberg,,,,Jaipur Seniya,M,Sitar/Surbahar
Barkatullah Khan,Barkatullah Khan,,1860,1928,Jaipur Seniya,M,Sitar
Shoba Gurtu,Shoba Gurtu,,,,,F,Vocal
Dinkar Kaikini,Dinkar Kaikini,,,,,M,Vocal
Paveen Sultana,Paveen Sultana,,,,,F,Vocal
Rita Ganguly,Rita Ganguly,,,,,F,Vocal
Prabha Atre,Prabha Atre,,,,,F,Vocal
Ramashreya Jha ‘Ramrang’,Ramashreya Jha,Ramrang',1928,2009,,M,Vocal
B.R. Deodhar,B.R. Deodhar,,1901,1990,Gwalior,M,Vocal
Sultan Khan,Sultan Khan,,1940,2011,,M,Sarangi
Sabir Khan,Sabir Khan,,1978,,,M,Sarangi
