Rasia Kanada
Rudra Pancham
Rupkali
Sampurna Bageshri
Sampurna Hindol
Sampurna Kedar
Sampurna Malkauns
Sampurna Sarang
Sanjani
Sanjh Sarawali
Sanjh Tarini
Sar Nat
Saraswati
Saveri Todi
Sazgiri
Shahana
Shahana Bahar
Shahana Kanada
Shankara
Shankara Bihag
Shankara Kalyan
Shivmat Bhairav
Shree
Shree Kalyan
Shuddha Bahar
Shuddha Basant
Shuddha Bhairavi
Shuddha Bihag
Shuddha Bilawal
Shuddha Desi
Shuddha Dhanashree
Shuddha Kafi
Shuddha Kalyan
Shuddha Kedar
Shuddha Lalit
Shuddha Malhar
Shuddha Malu
Shuddha Maru
Shuddha Nat
Shuddha Nishad Bageshri
Shuddha Sarang
Shuddha Shyam
Shuddha Todi
Shukla
Shukla Bilawal
Shyam
Shyam Kalyan
Shyam Kauns
Shyam Kedar
Shyam Sarang
Shyam Shree
Sindh
Sindh Bhairavi
Sindhu Bahar
Sindhu Bhairav
Sindhura
Sindhura Bahar
Sindhura Kafi
Sohini
Sohini Bhatiyar
Sohini Pancham
Sorath
Sorath Malhar
Sugharai
Sugharai Kanada
Suha
Suha Adana
Suha Kanada
Suha Malhar
Suha Sugharai Kanada (raga)
Suha Sughrai
Suha Todi
Suhi Kafi
Sujani Malhar
Sukhiya Bilawal
Sukul Bilawal
Sur Malhar
Surdasi Malhar
Tilak Kamod
Tilak Kedar
Tilak Malhar
Tilak Shyam
Tilang
Todi
Todi Ahiri
Vachaspati
Yaman
Yaman Kalyan
Yamani
Yamani Basant
Yamani Bilawal
Yamani Hindol
Zila
Zila Kafi
Zilla
Zilla Kafi
